Id_Tab,Row,Column,Cod_Conto,Cod_Dest2,Cod_Dest3,Cod_Dest4,Cod_Dest5,Cod_Categoria,Formula,Calculation_Logic,DB_Storage_Sign,EBA_Sign,Coordinate
F_01.01,r0010,c0010,,,,,,,SUM(R0020:R0040),,,positive,B2
F_01.01,r0020,c0010,FR_01_1_020,NC,"FR_IFRS,FR_NGAAP",NC,NC,$AMOUNT,,,positive,positive,B3
F_01.01,r0030,c0010,FR_01_1_030,NC,"FR_IFRS,FR_NGAAP",NC,NC,$AMOUNT,,,positive,positive,B4
F_01.01,r0040,c0010,FR_01_1_040,NC,"FR_IFRS,FR_NGAAP",NC,NC,$AMOUNT,,,positive,positive,B5
F_01.01,r0050,c0010,,,,,,,SUM(R0060:R0090),,,positive,B6
F_01.01,r0060,c0010,FR_01_1_060,NC,"FR_IFRS,FR_NGAAP",NC,NC,$AMOUNT,,,positive,positive,B7
F_01.01,r0070,c0010,FR_01_1_070,NC,"FR_IFRS,FR_NGAAP",NC,NC,$AMOUNT,,,positive,positive,B8
F_01.01,r0080,c0010,FR_01_1_080,NC,"FR_IFRS,FR_NGAAP",NC,NC,$AMOUNT,,,positive,positive,B9
F_01.01,r0090,c0010,FR_01_1_090,NC,"FR_IFRS,FR_NGAAP",NC,NC,$AMOUNT,,,positive,positive,B10
F_01.01,r0091,c0010,,,,,,,SUM(R0092:R0095),,,positive,B11
F_01.01,r0092,c0010,FR_01_1_092,NC,FR_NGAAP,NC,NC,$AMOUNT,,,positive,positive,B12
F_01.01,r0093,c0010,FR_01_1_093,NC,FR_NGAAP,NC,NC,$AMOUNT,,,positive,positive,B13
F_01.01,r0094,c0010,FR_01_1_094,NC,FR_NGAAP,NC,NC,$AMOUNT,,,positive,positive,B14
F_01.01,r0095,c0010,FR_01_1_095,NC,FR_NGAAP,NC,NC,$AMOUNT,,,positive,positive,B15
F_01.01,r0096,c0010,,,,,,,SUM(R0097:R0099),,,positive,B16
F_01.01,r0097,c0010,FR_01_1_097,NC,"FR_IFRS,FR_NGAAP",NC,NC,$AMOUNT,,,positive,positive,B17
F_01.01,r0098,c0010,FR_01_1_098,NC,"FR_IFRS,FR_NGAAP",NC,NC,$AMOUNT,,,positive,positive,B18
F_01.01,r0099,c0010,FR_01_1_099,NC,"FR_IFRS,FR_NGAAP",NC,NC,$AMOUNT,,,positive,positive,B19
F_01.01,r0100,c0010,,,,,,,SUM(R0110:R0130),,,positive,B20
F_01.01,r0110,c0010,FR_01_1_110,NC,FR_NGAAP,NC,NC,$AMOUNT,,,positive,positive,B21
F_01.01,r0120,c0010,FR_01_1_120,NC,"FR_IFRS,FR_NGAAP",NC,NC,$AMOUNT,,,positive,positive,B22
F_01.01,r0130,c0010,FR_01_1_130,NC,"FR_IFRS,FR_NGAAP",NC,NC,$AMOUNT,,,positive,positive,B23
F_01.01,r0141,c0010,,,,,,,SUM(R0142:R0144),,,positive,B24
